GIORNO,DATA,ORA,CAMPO,GIRONE,IDSQUADRA1,IDSQUADRA2,SQUADRA1,SQUADRA2,RISULTATO
SABATO,2025-04-19,14:00:00,A,A,A1,A2,LEGOLASSO,I MEDIOCRI,2-0
SABATO,2025-04-19,14:20:00,A,C,C1,C2,FC TINGENIA,CO-CO COGUARI,1-1
SABATO,2025-04-19,14:40:00,A,E,E1,E2,I DISTINTI,TRONA-TI,2-3
SABATO,2025-04-19,15:00:00,A,A,A2,A3,I MEDIOCRI,RISTORANTE LA ROCCA,0-1
SABATO,2025-04-19,15:20:00,A,C,C2,C3,CO-CO COGUARI,I RE CO-LIONS,5-4
SABATO,2025-04-19,15:40:00,A,E,E2,E3,TRONA-TI,TEAM OLESTO,3-1
SABATO,2025-04-19,16:00:00,A,A,A1,A5,LEGOLASSO,LA CARICA DEI 104,2-1
SABATO,2025-04-19,16:20:00,A,C,C1,C5,FC TINGENIA,MUNAY,0-0
SABATO,2025-04-19,16:40:00,A,E,E1,E5,I DISTINTI,PANTERONE,1-1
SABATO,2025-04-19,17:00:00,A,G,G1,G2,MANCHESTER FICHI,FUNKY MONKEY,2-2
SABATO,2025-04-19,17:20:00,A,A,A3,A4,RISTORANTE LA ROCCA,BIANCANEVE E I 7 CM,2-3
SABATO,2025-04-19,17:40:00,A,C,C3,C4,I RE CO-LIONS,STIRATEAM,3-3
SABATO,2025-04-19,18:00:00,A,E,E3,E4,TEAM OLESTO,RED DEVILS GENEROUS,4-4
SABATO,2025-04-19,18:20:00,A,G,G1,G5,MANCHESTER FICHI,TI CHE TE TACHET I TAC,5-5
SABATO,2025-04-19,18:40:00,A,A,A4,A5,BIANCANEVE E I 7 CM,LA CARICA DEI 104,4-2
SABATO,2025-04-19,19:00:00,A,C,C4,C5,STIRATEAM,MUNAY,6-1
SABATO,2025-04-19,19:20:00,A,E,E4,E5,RED DEVILS GENEROUS,PANTERONE,10-0
SABATO,2025-04-19,19:40:00,A,G,G4,G5,ABCF ASTON BIRRA,TI CHE TE TACHET I TAC,1-1
DOMENICA,2025-04-20,14:00:00,A,G,G3,G5,GLI IRRIDUCIBILI,TI CHE TE TACHET I TAC,1-0
DOMENICA,2025-04-20,14:20:00,A,E,E2,E4,TRONA-TI,RED DEVILS GENEROUS,1-3
DOMENICA,2025-04-20,14:40:00,A,C,C2,C4,CO-CO COGUARI,STIRATEAM,2-4
DOMENICA,2025-04-20,15:00:00,A,A,A2,A4,I MEDIOCRI,BIANCANEVE E I 7 CM,5-3
DOMENICA,2025-04-20,15:20:00,A,G,G2,G4,FUNKY MONKEY,ABCF ASTON BIRRA,7-4
DOMENICA,2025-04-20,15:40:00,A,E,E2,E5,TRONA-TI,PANTERONE,3-6
DOMENICA,2025-04-20,16:00:00,A,C,C2,C5,CO-CO COGUARI,MUNAY,4-2
DOMENICA,2025-04-20,16:20:00,A,A,A2,A5,I MEDIOCRI,LA CARICA DEI 104,2-2
DOMENICA,2025-04-20,16:40:00,A,G,G2,G5,FUNKY MONKEY,TI CHE TE TACHET I TAC,2-4
DOMENICA,2025-04-20,17:00:00,A,E,E1,E4,I DISTINTI,RED DEVILS GENEROUS,3-0
DOMENICA,2025-04-20,17:20:00,A,C,C1,C4,FC TINGENIA,STIRATEAM,0-5
DOMENICA,2025-04-20,17:40:00,A,A,A1,A4,LEGOLASSO,BIANCANEVE E I 7 CM,2-3
DOMENICA,2025-04-20,18:00:00,A,E,E3,E5,TEAM OLESTO,PANTERONE,1-1
DOMENICA,2025-04-20,18:20:00,A,C,C3,C5,I RE CO-LIONS,MUNAY,2-5
DOMENICA,2025-04-20,18:40:00,A,A,A3,A5,RISTORANTE LA ROCCA,LA CARICA DEI 104,2-1
DOMENICA,2025-04-20,19:00:00,A,E,E1,E3,I DISTINTI,TEAM OLESTO,7-2
DOMENICA,2025-04-20,19:20:00,A,C,C1,C3,FC TINGENIA,I RE CO-LIONS,2-0
DOMENICA,2025-04-20,19:40:00,A,A,A1,A3,LEGOLASSO,RISTORANTE LA ROCCA,1-0
SABATO,2025-04-19,14:00:00,B,B,B1,B2,WELCOME ALCOHOLICS,FRUNI UNITED,2-2
SABATO,2025-04-19,14:20:00,B,D,D1,D2,ESPRESSGOL MACCHIATO,I MISSILI,5-2
SABATO,2025-04-19,14:40:00,B,F,F1,F2,ATLETICO BIRRAO,TEMPTATION BARLAND,6-1
SABATO,2025-04-19,15:00:00,B,B,B2,B3,FRUNI UNITED,BIRRA E CORI,8-4
SABATO,2025-04-19,15:20:00,B,D,D2,D3,I MISSILI,AURORA BIRREALE,5-2
SABATO,2025-04-19,15:40:00,B,F,F2,F3,TEMPTATION BARLAND,HERTA VERNELLO,2-6
SABATO,2025-04-19,16:00:00,B,B,B1,B5,WELCOME ALCOHOLICS,MS,3-1
SABATO,2025-04-19,16:20:00,B,D,D1,D5,ESPRESSGOL MACCHIATO,LA SOLEGGIATA,1-4
SABATO,2025-04-19,16:40:00,B,F,F1,F5,ATLETICO BIRRAO,REAL MAI-DRIT,4-2
SABATO,2025-04-19,17:00:00,B,G,G3,G4,GLI IRRIDUCIBILI,ABCF ASTON BIRRA,2-1
SABATO,2025-04-19,17:20:00,B,B,B3,B4,BIRRA E CORI,POLLINATOR'S,2-1
SABATO,2025-04-19,17:40:00,B,D,D3,D4,AURORA BIRREALE,TEAM NOCINO,1-2
SABATO,2025-04-19,18:00:00,B,F,F3,F4,HERTA VERNELLO,RAPID MIATANT,1-3
SABATO,2025-04-19,18:20:00,B,G,G2,G3,FUNKY MONKEY,GLI IRRIDUCIBILI,1-0
SABATO,2025-04-19,18:40:00,B,B,B4,B5,POLLINATOR'S,MS,1-4
SABATO,2025-04-19,19:00:00,B,D,D4,D5,TEAM NOCINO,LA SOLEGGIATA,1-1
SABATO,2025-04-19,19:20:00,B,F,F4,F5,RAPID MIATANT,REAL MAI-DRIT,0-2
DOMENICA,2025-04-20,14:20:00,B,F,F2,F4,TEMPTATION BARLAND,RAPID MIATANT,4-1
DOMENICA,2025-04-20,14:40:00,B,D,D2,D4,I MISSILI,TEAM NOCINO,3-4
DOMENICA,2025-04-20,15:00:00,B,B,B2,B4,FRUNI UNITED,POLLINATOR'S,2-1
DOMENICA,2025-04-20,15:20:00,B,G,G1,G3,MANCHESTER FICHI,GLI IRRIDUCIBILI,2-2
DOMENICA,2025-04-20,15:40:00,B,F,F2,F5,TEMPTATION BARLAND,REAL MAI-DRIT,3-1
DOMENICA,2025-04-20,16:00:00,B,D,D2,D5,I MISSILI,LA SOLEGGIATA,2-0
DOMENICA,2025-04-20,16:20:00,B,B,B2,B5,FRUNI UNITED,MS,4-3
DOMENICA,2025-04-20,16:40:00,B,G,G1,G4,MANCHESTER FICHI,ABCF ASTON BIRRA,6-1
DOMENICA,2025-04-20,17:00:00,B,F,F1,F4,ATLETICO BIRRAO,RAPID MIATANT,2-3
DOMENICA,2025-04-20,17:20:00,B,D,D1,D4,ESPRESSGOL MACCHIATO,TEAM NOCINO,2-3
DOMENICA,2025-04-20,17:40:00,B,B,B1,B4,WELCOME ALCOHOLICS,POLLINATOR'S,1-0
DOMENICA,2025-04-20,18:00:00,B,F,F3,F5,HERTA VERNELLO,REAL MAI-DRIT,0-0
DOMENICA,2025-04-20,18:20:00,B,D,D3,D5,AURORA BIRREALE,LA SOLEGGIATA,2-1
DOMENICA,2025-04-20,18:40:00,B,B,B3,B5,BIRRA E CORI,MS,2-1
DOMENICA,2025-04-20,19:00:00,B,F,F1,F3,ATLETICO BIRRAO,HERTA VERNELLO,2-3
DOMENICA,2025-04-20,19:20:00,B,D,D1,D3,ESPRESSGOL MACCHIATO,AURORA BIRREALE,3-0
DOMENICA,2025-04-20,19:40:00,B,B,B1,B3,WELCOME ALCOHOLICS,BIRRA E CORI,4-0
